Year,Month,Caernarfon,Humberside,Inverness,Lee_On_Solent,Lydd,Newquay,Portland,Prestwick,St_Athan,Stornoway,Sumburgh,Total
2016,January,16,13,30,9,8,17,1,31,16,9,10,160
2016,February,24,13,27,14,9,18,6,28,12,5,7,163
2016,March,22,16,22,10,19,22,12,34,16,4,8,185
2016,Jan to Mar total,62,42,79,33,36,57,19,93,44,18,25,508
2016,April,24,24,20,9,11,23,4,34,20,12,12,193
2016,May,36,27,33,15,25,32,14,28,24,9,6,249
2016,June,24,20,32,23,28,34,15,31,24,22,16,269
2016,Apr to Jun total,84,71,85,47,64,89,33,93,68,43,34,711
2016,July,50,27,31,24,27,24,18,34,32,9,14,290
2016,August,60,32,39,28,29,46,14,47,41,20,16,372
2016,September,32,18,18,14,23,29,9,24,14,12,9,202
2016,Jul to Sep total,142,77,88,66,79,99,41,105,87,41,39,864
2016,October,35,28,24,14,13,23,10,25,16,10,6,204
2016,November,19,22,5,16,12,22,8,22,13,2,11,152
2016,December,18,21,15,17,16,19,5,25,15,4,7,162
2016,Oct to Dec total,72,71,44,47,41,64,23,72,44,16,24,518
2017,January,11,23,14,17,12,16,8,23,18,8,5,155
2017,February,13,16,21,12,11,18,7,21,15,4,13,151
2017,March,22,24,17,19,14,23,11,28,14,11,12,195
2017,Jan to Mar total,46,63,52,48,37,57,26,72,47,23,30,501
2017,April,25,22,14,12,8,21,11,22,28,13,7,183
2017,May,34,18,18,8,17,28,8,30,23,18,14,216
2017,June,27,17,26,30,24,42,12,27,24,15,9,253
2017,Apr to Jun total,86,57,58,50,49,91,31,79,75,46,30,652
2017,July,35,24,30,37,26,55,[x],45,30,20,10,312
2017,August,36,27,21,36,23,44,[x],41,54,24,7,313
2017,September,21,20,27,32,12,35,[x],39,34,8,7,235
2017,Jul to Sep total,92,71,78,105,61,134,[x],125,118,52,24,860
2017,October,18,22,20,20,14,35,[x],32,21,12,6,200
2017,November,13,17,14,21,19,14,[x],20,20,6,10,154
2017,December,25,15,11,27,11,13,[x],23,24,4,16,169
2017,Oct to Dec total,56,54,45,68,44,62,[x],75,65,22,32,523
2018,January,16,15,24,19,10,19,[x],31,14,7,15,170
2018,February,31,25,37,19,11,22,[x],23,23,11,18,220
2018,March,22,24,29,25,14,31,[x],28,16,7,15,211
2018,Jan to Mar total,69,64,90,63,35,72,[x],82,53,25,48,601
2018,April,21,19,19,28,11,30,[x],30,15,13,22,208
2018,May,34,24,35,24,18,41,[x],28,26,19,10,259
2018,June,25,18,30,22,18,33,[x],23,24,14,9,216
2018,Apr to Jun total,80,61,84,74,47,104,[x],81,65,46,41,683
2018,July,38,28,34,39,26,36,[x],51,33,16,10,311
2018,August,36,31,24,26,30,47,[x],30,26,15,11,276
2018,September,36,10,25,24,22,28,[x],27,13,10,16,211
2018,Jul to Sep total,110,69,83,89,78,111,[x],108,72,41,37,798
2018,October,20,17,11,33,20,20,[x],23,28,12,15,199
2018,November,15,26,15,16,20,25,[x],23,13,1,7,161
2018,December,16,16,15,26,17,17,[x],19,13,6,10,155
2018,Oct to Dec total,51,59,41,75,57,62,[x],65,54,19,32,515
2019,January,10,17,18,20,10,25,[x],18,9,8,11,146
2019,February,18,6,13,21,10,17,[x],21,16,8,10,140
2019,March,22,10,15,17,12,22,[x],25,12,9,12,156
2019,Jan to Mar total,50,33,46,58,32,64,[x],64,37,25,33,442
2019,April,22,24,34,24,10,38,[x],32,22,17,10,233
2019,May,24,15,22,18,17,27,[x],22,27,14,18,204
2019,June,26,18,21,15,19,34,[x],29,21,14,18,215
2019,Apr to Jun total,72,57,77,57,46,99,[x],83,70,45,46,652
2019,July,33,21,29,19,28,32,[x],35,33,15,13,258
2019,August,44,24,36,22,24,39,[x],41,32,16,17,295
2019,September,23,16,18,25,18,27,[x],33,18,18,15,211
2019,Jul to Sep total,100,61,83,66,70,98,[x],109,83,49,45,764
2019,October,24,12,23,15,10,23,[x],18,17,4,29,175
2019,November,15,15,11,21,13,23,[x],23,15,9,18,163
2019,December,9,9,16,24,18,17,[x],31,14,6,25,169
2019,Oct to Dec total,48,36,50,60,41,63,[x],72,46,19,72,507
2020,January,18,9,17,23,15,14,[x],23,20,6,12,157
2020,February,10,6,26,19,17,9,[x],25,15,13,6,146
2020,March,13,11,20,19,15,15,[x],26,12,8,15,154
2020,Jan to Mar total,41,26,63,61,47,38,[x],74,47,27,33,457
2020,April,5,3,4,11,12,10,[x],6,2,4,7,64
2020,May,10,21,8,33,32,33,[x],22,20,10,3,192
2020,June,12,16,10,28,30,26,[x],29,21,4,7,183
2020,Apr to Jun total,27,40,22,72,74,69,[x],57,43,18,17,439
2020,July,28,26,32,24,26,31,[x],46,30,20,13,276
2020,August,53,25,45,44,31,33,[x],49,45,27,13,365
2020,September,39,17,22,25,17,23,[x],48,24,13,14,242
2020,Jul to Sep total,120,68,99,93,74,87,[x],143,99,60,40,883
2020,October,14,11,18,12,11,19,[x],25,16,12,6,144
2020,November,13,11,14,18,19,14,[x],24,19,12,8,152
2020,December,11,16,16,20,8,20,[x],21,7,4,16,139
2020,Oct to Dec total,38,38,48,50,38,53,[x],70,42,28,30,435
2021,January,14,11,14,20,10,17,[x],24,14,13,15,152
2021,February,10,10,13,11,13,13,[x],23,20,11,12,136
2021,March,9,11,11,6,11,16,[x],33,13,9,14,133
2021,Jan to Mar total,33,32,38,37,34,46,[x],80,47,33,41,421
2021,April,17,16,20,19,10,14,[x],29,23,11,12,171
2021,May,29,12,23,30,21,23,[x],25,26,17,18,224
2021,June,33,12,43,18,23,32,[x],50,29,11,19,270
2021,Apr to Jun total,79,40,86,67,54,69,[x],104,78,39,49,665
2021,July,51,21,48,29,26,40,[x],73,23,22,22,355
2021,August,54,20,53,36,31,35,[x],50,31,16,20,346
2021,September,36,20,34,24,41,29,[x],41,25,17,10,277
2021,Jul to Sep total,141,61,135,89,98,104,[x],164,79,55,52,978
2021,October,23,26,30,24,29,24,[x],44,14,9,12,235
2021,November,14,11,16,17,20,22,[x],30,17,10,11,168
2021,December,20,14,15,19,11,18,[x],29,8,12,12,158
2021,Oct to Dec total,57,51,61,60,60,64,[x],103,39,31,35,561
2022,January,14,18,29,10,13,13,[x],31,12,7,12,159
2022,February,20,9,20,16,15,20,[x],29,18,13,6,166
2022,March,26,17,35,18,12,24,[x],32,24,14,16,218
2022,Jan to Mar total,60,44,84,44,40,57,[x],92,54,34,34,543
2022,April,23,13,25,16,20,30,[x],32,24,19,18,220
2022,May,33,14,37,21,17,33,[x],37,22,24,17,255
2022,June,33,15,37,27,26,23,[x],43,25,21,28,278
2022,Apr to Jun total,89,42,99,64,63,86,[x],112,71,64,63,753
2022,July,52,23,34,28,27,30,[x],47,31,27,21,320
2022,August,50,27,40,25,35,22,[x],42,33,13,20,307
2022,September,26,19,22,22,21,25,[x],36,19,15,13,218
2022,Jul to Sep total,128,69,96,75,83,77,[x],125,83,55,54,845
2022,October,24,21,21,14,21,19,[x],17,11,13,22,183
2022,November,22,13,12,11,17,15,[x],23,17,14,16,160
2022,December,16,10,22,17,18,13,[x],34,12,15,22,179
2022,Oct to Dec total,62,44,55,42,56,47,[x],74,40,42,60,522
2023,January,17,11,21,8,8,14,[x],35,12,13,16,155
2023,February,20,7,23,6,17,9,[x],29,7,10,22,150
2023,March,21,11,18,19,6,16,[x],21,13,8,22,155
2023,Jan to Mar total,58,29,62,33,31,39,[x],85,32,31,60,460
